fp	AmpSno1	AmpNno1	AmpSNRno1	AmpSmNno1	ItcSno1	ItcNno1	ItcSNRno1	ItcSmNno1	AmpSno2	AmpNno2	AmpSNRno2	AmpSmNno2	ItcSno2	ItcNno2	ItcSNRno2	ItcSmNno2	AmpSno3	AmpNno3	AmpSNRno3	AmpSmNno3	ItcSno3	ItcNno3	ItcSNRno3	ItcSmNno3	AmpSno4	AmpNno4	AmpSNRno4	AmpSmNno4	ItcSno4	ItcNno4	ItcSNRno4	ItcSmNno4	AmpSlo1	AmpNlo1	AmpSNRlo1	AmpSmNlo1	ItcSlo1	ItcNlo1	ItcSNRlo1	ItcSmNlo1	AmpSlo2	AmpNlo2	AmpSNRlo2	AmpSmNlo2	ItcSlo2	ItcNlo2	ItcSNRlo2	ItcSmNlo2	AmpSlo3	AmpNlo3	AmpSNRlo3	AmpSmNlo3	ItcSlo3	ItcNlo3	ItcSNRlo3	ItcSmNlo3	AmpSlo4	AmpNlo4	AmpSNRlo4	AmpSmNlo4	ItcSlo4	ItcNlo4	ItcSNRlo4	ItcSmNlo4	AmpShi1	AmpNhi1	AmpSNRhi1	AmpSmNhi1	ItcShi1	ItcNhi1	ItcSNRhi1	ItcSmNhi1	AmpShi2	AmpNhi2	AmpSNRhi2	AmpSmNhi2	ItcShi2	ItcNhi2	ItcSNRhi2	ItcSmNhi2	AmpShi3	AmpNhi3	AmpSNRhi3	AmpSmNhi3	ItcShi3	ItcNhi3	ItcSNRhi3	ItcSmNhi3	AmpShi4	AmpNhi4	AmpSNRhi4	AmpSmNhi4	ItcShi4	ItcNhi4	ItcSNRhi4	ItcSmNhi4	AmpSvh1	AmpNvh1	AmpSNRvh1	AmpSmNvh1	ItcSvh1	ItcNvh1	ItcSNRvh1	ItcSmNvh1	AmpSvh2	AmpNvh2	AmpSNRvh2	AmpSmNvh2	ItcSvh2	ItcNvh2	ItcSNRvh2	ItcSmNvh2	AmpSvh3	AmpNvh3	AmpSNRvh3	AmpSmNvh3	ItcSvh3	ItcNvh3	ItcSNRvh3	ItcSmNvh3	AmpSvh4	AmpNvh4	AmpSNRvh4	AmpSmNvh4	ItcSvh4	ItcNvh4	ItcSNRvh4	ItcSmNvh4
1	0.023060019486826497	0.03990085525365669	0.5771668184825189	-0.016840835766830195	0.13627937179440813	0.08098284654960118	1.6884617745796169	0.05529652524480695	0.02100109150850766	0.0274322243655516	0.769820604913489	-0.006431132857043942	0.0688027445700985	0.08928758547720533	0.769884893822709	-0.020484840907106838	0.04246659116876811	0.03548042016442238	1.1966159939536185	0.0069861710043457315	0.17669791329272916	0.09028465904193839	1.957743345230024	0.08641325425079077	0.05574880517786962	0.017477932943391995	3.1973815244327772	0.03827087223447763	0.25364507082838383	0.08002102356744972	3.1670593369119215	0.1736240472609341	0.05877609286326553	0.03431380034411024	1.7157530397647516	0.024462292519155292	0.12791542041850582	0.08250878877084256	1.5509374303287529	0.04540663164766326	0.043675320352156134	0.023422888489920073	1.8643639705079205	0.02025243186223606	0.13402411574185255	0.0783067791202576	1.6996324464703314	0.05571733662159495	0.04524827050105805	0.03259289767710456	1.3883354637851033	0.012655372823953487	0.09386674928868416	0.07903514949403792	1.1979805423425152	0.014831599794646239	0.03390335753227737	0.05276681203432742	0.6426998678388719	-0.01886345450205005	0.0672470859303883	0.07714004449920744	0.8727864023188436	-0.009892958568819138	0.06229131916426435	0.039196544769577374	1.5890068602833503	0.023094774394686976	0.10674887144282343	0.08456130543524246	1.2623517151660986	0.02218756600758097	0.020271542346829374	0.0691535091505048	0.2928812176379636	-0.04888196680367543	0.0981309036362873	0.08652930540535983	1.136021206188814	0.011601598230927476	0.026380606989372307	0.031233752704556153	0.8420501591451441	-0.004853145715183846	0.07520639399924561	0.09819459376604629	0.7658107540169392	-0.02298819976680068	0.016550765782501087	0.026949169479468744	0.6172981234202358	-0.010398403696967658	0.11071389733293416	0.07297957001837133	1.519033681964136	0.03773432731456283	0.0424653897649918	0.031254229768639424	1.3594037641631218	0.011211159996352374	0.10318134230472817	0.09696711345132966	1.0640017585186863	0.006214228853398507	0.017716093876895406	0.05309925833321029	0.3336920248635311	-0.03538316445631488	0.04880589116660402	0.09460511343918288	0.5181893237652357	-0.045799222272578856	0.06890933532300969	0.036339774844003636	1.8959837583585775	0.032569560479006054	0.17377540703211458	0.07462524993694777	2.3341777887985344	0.09915015709516681	0.026413782886130673	0.02607464678607642	1.0106910019844002	0.0003391361000542534	0.07540639981666142	0.08008101922002356	0.9253447651820121	-0.00467461940336214
2	0.00942137461514917	0.02464679480990089	0.3818288450116717	-0.01522542019475172	0.0717641049055875	0.06340976380929553	1.1355310140057857	0.008354341096291976	0.011425564850833778	0.04154056570890803	0.27636552077265697	-0.030115000858074253	0.09602203973821913	0.09043105054802272	1.063428564031538	0.005590989190196405	0.06337628748352458	0.05629240267649427	1.1258228635438394	0.007083884807030316	0.01666753709718786	0.09251319924193876	0.17973512594677143	-0.0758456621447509	0.025661262659534514	0.0537184783478626	0.4777689971870861	-0.028057215688328085	0.015284127520314394	0.09309531836497936	0.16308606456878277	-0.07781119084466497	0.060574639100108275	0.04210741865945286	1.4380656500417093	0.018467220440655414	0.10835571964957978	0.0798934823819698	1.3585110262706541	0.028462237267609977	0.0373028829415422	0.039630850639416314	0.9395995684385556	-0.002327967697874113	0.02486788768059775	0.0661648957046709	0.40476485616102525	-0.041297008024073156	0.09491762348559174	0.040458796072038866	2.3454241104488203	0.054458827413552874	0.13167608451194432	0.09497328128390856	1.388085952021222	0.03670280322803576	0.05837758917066554	0.05015109579172909	1.1634555490181109	0.008226493378936446	0.07203565576555707	0.08074842714579067	0.8911434365213393	-0.008712771380233603	0.05098734271145873	0.04740529560814054	1.0763603848585617	0.003582047103318192	0.07072851373096717	0.061371530273630445	1.1504052721988134	0.009356983457336723	0.07447960853308709	0.051725863246855214	1.4412322478485735	0.022753745286231877	0.05335660837210994	0.07827561428600174	0.6817149132555518	-0.024919005913891804	0.017246903942431075	0.05352874895678553	0.32293600062150607	-0.036281845014354455	0.050027293213309273	0.08814400905230492	0.5673631961103798	-0.038116715838995646	0.028841716062357838	0.04247929913514743	0.6783482999963588	-0.013637583072789596	0.05350102898906932	0.07506862696603608	0.7124381519354496	-0.021567597976966765	0.03009506707702033	0.06820116855841402	0.4427246943735764	-0.038106101481393685	0.0201181516264722	0.09056143374953239	0.22404819831473288	-0.0704432821230602	0.03731059036056858	0.04411456746778951	0.8477490502828072	-0.006803977107220929	0.10015979864473007	0.0817536755678816	1.2301159235294317	0.01840612307684847	0.053136819172236616	0.05382170485308642	0.9871505509999845	-0.0006848856808498033	0.14081986770111315	0.10351453240521338	1.3602820149833899	0.03730533529589977	0.04519344895570426	0.039868943283313966	1.1329438928470743	0.005324505672390296	0.07097851040097444	0.07424324043783243	0.9565027104340631	-0.0032647300368579824
3	0.024688170568334247	0.021049360966145604	1.1964986154393848	0.0036388096021886425	0.09411451221112092	0.06613083759065423	1.4183373140816975	0.027983674620466692	0.027576981220536523	0.02091652635344534	1.317749746699416	0.006660454867091183	0.08226854734433481	0.08363575858533559	0.9815901247614606	-0.001367211241000782	0.018387325166292125	0.03017667902376499	0.6102803783850237	-0.011789353857472866	0.06971853719215257	0.07316641119505814	0.9554967129901006	-0.0034478740029055682	0.04823091056834191	0.026707778031171175	1.8042170123505215	0.021523132537170735	0.07814886922193895	0.08545728190890925	0.9174586420346265	-0.0073084126869703	0.027019331551720645	0.025198384139937437	1.0663148132243596	0.001820947411783208	0.10292309623996937	0.07024501808708239	1.4641567307359555	0.03267807815288698	0.080048800362564	0.029610256352655514	2.7040482171131437	0.05043854400990848	0.19999412776559625	0.07650451030787117	2.613233782955308	0.12348961745772508	0.046656389989964464	0.02590945378439309	1.803151124908001	0.020746936205571373	0.19014165749189232	0.09745678485197329	1.9474102100507786	0.09268487263991904	0.06006436096518492	0.03343083553332924	1.8010559863133462	0.02663352543185568	0.1570475143337665	0.10236287994753587	1.5339162668220936	0.05468463438623064	0.044861708465364	0.022455862850135934	2.012584235350998	0.022405845615228064	0.09234846394777203	0.09644217510726068	0.9677729944519597	-0.004093711159488644	0.023820520563013144	0.03140843936811801	0.7585920709761815	-0.007587918805104867	0.048550759834179016	0.08222834846482163	0.5911188111600656	-0.033677588630642616	0.03861761463704792	0.02860053090805377	1.3497221791787404	0.010017083728994153	0.10348993194999195	0.09612077890957654	1.0804164006717802	0.00736915304041541	0.012005057799505187	0.03268091769863913	0.3703448795934029	-0.020675859899133942	0.0559398005347673	0.0989390422753084	0.5649192272998678	-0.04299924174054111	0.05962397045869064	0.029674352983838803	2.0071078467789167	0.029949617474851836	0.1311143412305873	0.0749797502794937	1.7549657441756152	0.05613459095109359	0.02084628440045512	0.024450905077436018	0.8523797941734618	-0.0036046206769808978	0.0909411047058203	0.0713244734312572	1.2719814003004892	0.019616631274563104	0.029865917303726716	0.026840561977351105	1.1126975661438476	0.003025355326375611	0.07708951122652147	0.07167075259579886	1.0763083575085326	0.005418758630722609	0.021770335456598167	0.02631398125039141	0.8318876980607983	-0.004543645793793242	0.03445280417567301	0.06617634767296868	0.5193502280666097	-0.03172354349729567
4	0.11796502984433922	0.05875322276362437	2.006939734906324	0.05921180708071485	0.09011412205644007	0.07157960382219078	1.2612897941163665	0.018534518234249286	0.10546298436969567	0.042081383445363885	2.5058329188292827	0.06338160092433179	0.12333106450345838	0.07399069915731449	1.6722272049507134	0.04934036534614389	0.0323628835046861	0.05207058979049771	0.6225552313285508	-0.01970770628581161	0.07181778766518863	0.07895336996646778	0.922921225653961	-0.007135582301279142	0.05176204847050905	0.06525589277963409	0.7938149662608154	-0.013493844309125036	0.15608648984194362	0.08593066490207701	1.8191253939308525	0.0701558249398666	0.08102557437260616	0.06040091799606914	1.3414140273975304	0.020624656376537015	0.085852800898174	0.08483579745416636	1.0233516173014179	0.0010170034440076386	0.09686786071717926	0.07877315910684549	1.2294143409451306	0.018094701610333774	0.10723437414648174	0.09863971343898807	1.087897945125425	0.008594660707493665	0.03419344667699856	0.0690728899781961	0.49411809737499435	-0.03487944330119755	0.09106734905253755	0.08069958257413679	1.127234668830924	0.010367766478400764	0.08593251697740067	0.06814591977773311	1.2609321460171703	0.01778659719966756	0.0717448652481501	0.0931960132511654	0.7697353772603007	-0.0214511480030153	0.04393539559262519	0.09522233748961789	0.4613981639920479	-0.051286941896992705	0.05049233946248638	0.087680440568006	0.5759134413440574	-0.03718810110551962	0.07165513059210865	0.0746623140959218	0.9599111010815955	-0.0030071835038131545	0.08600747005642727	0.08745000942053692	0.9831292535756735	-0.0014425393641096518	0.053767941167732064	0.06303002085298738	0.8533026942508339	-0.009262079685255317	0.05562000055729756	0.07635948683754112	0.7295677816883764	-0.020739486280243566	0.0719831592417014	0.0737488216606596	0.9771304023139432	-0.0017656624189582026	0.031946364240838056	0.09522080664525692	0.340736434427359	-0.06327444240441887	0.08245601437363348	0.052814328819018784	1.5611595501487696	0.029641685554614695	0.07149507229411385	0.07254083076016106	0.9843497905118105	-0.0010457584660472086	0.03707980754574085	0.05459636207402089	0.6803218695371819	-0.01751655452828004	0.02643508186806464	0.08147773035085508	0.32685565416977225	-0.05504264848279044	0.049752966230975346	0.07397605860620121	0.674047807326517	-0.024223092375225866	0.009552092460888041	0.08338322894566091	0.11456557407242081	-0.07383113648477288	0.08313966199968081	0.056263686359327214	1.478329626357588	0.0268759756403536	0.05809596123419576	0.07019256412737475	0.8270114615463147	-0.012096602893178987
5	0.023601091309660385	0.08222204784981316	0.2887300138525353	-0.05862095654015277	0.08156649697968203	0.09137473653684342	0.9195433549044438	-0.009808239557161383	0.06136179352033336	0.07387584060220512	0.8205741170478367	-0.01251404708187176	0.09815093851809296	0.08508672207344167	1.1436378855940825	0.013064216444651292	0.06912966367455872	0.08778098559873966	0.7874578793136096	-0.01865132192418094	0.08535564726942141	0.06486589511629913	1.3070792431700453	0.02048975215312228	0.017560409022294422	0.10160904261770892	0.17321696895514277	-0.08404863359541451	0.0294064113479172	0.09886134334385649	0.2977814178160634	-0.06945493199593929	0.06715407395383423	0.033379441210687824	2.0263587540581716	0.033774632743146404	0.16311550164595828	0.08663984415933715	1.8821274801750731	0.07647565748662113	0.020789851594447264	0.0274600302555896	0.7585368508230732	-0.006670178661142338	0.08842800408223786	0.06835274000227692	1.2969198235939694	0.020075264079960936	0.07227916729282616	0.04753590387824415	1.519675456386825	0.02474326341458201	0.08554838062872756	0.07348862782414091	1.1683379339377749	0.012059752804586654	0.09269617638362972	0.06542439828732474	1.4310037254324546	0.027271778096304974	0.17879393036314173	0.0893970603669384	2.0048984513143826	0.08939686999620333	0.04801453352295745	0.031564624488358915	1.539786761038902	0.016449909034598538	0.14780658808123864	0.08176573593149078	1.8439795855420988	0.06604085214974786	0.030342118982063127	0.03598680785196799	0.8388047456500238	-0.005644688869904865	0.08740218967137904	0.0740756309665122	1.1936719998431218	0.013326558704866848	0.025267228407998457	0.037210320904661046	0.6775666932040256	-0.011943092496662588	0.056249412109642946	0.09625043283959031	0.5910613262796613	-0.040001020729947365	0.04160564032757521	0.03588587771163847	1.1529264416104161	0.005719762615936742	0.08769611353832957	0.07450448007702282	1.189649064954903	0.013191633461306751	0.08499748254401482	0.07077297191005824	1.2007881677251961	0.014224510633956577	0.2033736669775552	0.08141419065458111	2.501217035549445	0.1219594763229741	0.045354512202365804	0.026141768630414442	1.7347341631340338	0.019212743571951362	0.12823382948064238	0.08507234185995352	1.5168722717078764	0.04316148762068886	0.14522442163816818	0.12061775610491174	1.2038525406256064	0.02460666553325644	0.04183368038635531	0.08415776629517059	0.4956323246126395	-0.042324085908815284	0.08217436824481933	0.07413936281036482	1.1103961070081603	0.008035005434454512	0.08486260890808872	0.09283498115425615	0.9243792432499924	-0.007972372246167425
6	0.04907953806360363	0.038232691707741254	1.2901349430344438	0.010846846355862375	0.01788412408807877	0.08136072940172337	0.21963924728181822	-0.0634766053136446	0.09856829450976831	0.07915749192553309	1.2502451903957688	0.01941080258423522	0.05607196401930988	0.0743002586100005	0.7540927601201433	-0.01822829459069062	0.018030834208008592	0.043317687422315926	0.41547045768771373	-0.025286853214307334	0.06270355139259548	0.08622443981150554	0.7276486511039982	-0.023520888418910063	0.01990820041026485	0.04312078284044638	0.4631358201001522	-0.02321258243018153	0.047064575402418686	0.08670828184022769	0.5536661065211089	-0.039643706437809005	0.0136609174157096	0.032876118959559684	0.4154679390797258	-0.019215201543850084	0.04323850550060749	0.07536047065256431	0.5738467892741826	-0.03212196515195682	0.00348261917985666	0.030052800727336293	0.11349828230737731	-0.026570181547479633	0.08563294589995345	0.06411664713035695	1.348454541971401	0.0215162987695965	0.055394516561984686	0.05541243325562413	1.0012231445433035	-1.791669363944426e-05	0.06511929985386139	0.07388135348490335	0.879581083871394	-0.00876205363104196	0.030532563966506353	0.04141585422650296	0.7356579150084575	-0.010883290259996604	0.033424746931938566	0.07665485917479081	0.43116135776818176	-0.043230112242852246	0.061322824750274084	0.04450648906597445	1.3774278786107819	0.016816335684299633	0.1419728818794043	0.09643156408046004	1.4716189697160096	0.045541317798944256	0.06222070650119079	0.08558360724648739	0.7276833663908724	-0.0233629007452966	0.07654683360861436	0.0957936379842032	0.7990952328294973	-0.019246804375588844	0.025154783892137912	0.042707757010261055	0.5881106120651121	-0.017552973118123143	0.0738589991512978	0.06545201948116135	1.1283774260050412	0.008406979670136455	0.046578897776925934	0.058843106717418325	0.7916147403383419	-0.012264208940492391	0.011365437940614842	0.08144224431241545	0.13990756714975436	-0.07007680637180061	0.06703628792650378	0.0629927080721199	1.064861887253906	0.004043579854383875	0.07705050944153242	0.08173977019842463	0.9463115293955915	-0.004689260756892202	0.10960265096454552	0.09981039466812705	1.0980155864251488	0.009792256296418472	0.11587961511108479	0.09566276548928544	1.2139007451797792	0.020216849621799343	0.011912088127486217	0.04043137909347821	0.29394577310469827	-0.02851929096599199	0.05628427699852987	0.08204297961375895	0.6858058595701657	-0.025758702615229077	0.020176991586720913	0.06017380293734914	0.33469375175595145	-0.03999681135062823	0.02799421711405465	0.07090019118174859	0.3891090038421417	-0.04290597406769394
7	0.03900119756601881	0.05094657667828805	0.7653032516011182	-0.011945379112269242	0.04685032207556648	0.08790009348635056	0.5327160394115189	-0.04104977141078407	0.06708586163102576	0.04260850605966754	1.574347393709375	0.024477355571358217	0.0855397381195108	0.07926720414251986	1.0811628961154662	0.006272533976990929	0.01068743940958209	0.04423913800131391	0.24185228479334722	-0.03355169859173182	0.04212515723330162	0.08226158186756832	0.5130172245211551	-0.040136424634266706	0.05946132278554267	0.05063800175777865	1.1759419237248792	0.008823321027764022	0.05477045577119599	0.07631460871799622	0.7175389083820167	-0.021544152946800232	0.048729983384551354	0.044143241860461105	1.1047130765806956	0.004586741524090249	0.11748989075033289	0.0757696889958063	1.550685292886624	0.04172020175452659	0.06429184319257515	0.0728081417043631	0.8824260918354474	-0.00851629851178795	0.06429802042989688	0.1008334585378048	0.6374071927735157	-0.03653543810790792	0.055154444363118005	0.03734942427013811	1.4770326510945049	0.017805020092979892	0.11022616801005698	0.07471055035591906	1.4747144823766067	0.035515617654137924	0.03425031792122342	0.04487191063145109	0.7635684761977252	-0.010621592710227667	0.0663221416213765	0.07506115083096246	0.883267921216669	-0.008739009209585952	0.13714793908436673	0.07259029203634845	1.890261608079138	0.06455764704801828	0.08144795180027045	0.07583570042352297	1.0715354237972785	0.005612251376747479	0.04701145710925883	0.07252836551030784	0.6481555239696106	-0.025516908401049004	0.09541516436810625	0.08690747605786793	1.0991301836133869	0.00850768831023832	0.07097698930406217	0.056701798620099546	1.2516192932097212	0.014275190683962623	0.08414784575904827	0.08084713531107637	1.0407950503762513	0.003300710447971894	0.05564405347986836	0.0719665591381312	0.7730974519791252	-0.01632250565826284	0.04554977969439923	0.09123898082160896	0.5021953724652832	-0.04568920112720973	0.03173353596229862	0.05250204495159387	0.6048383765240577	-0.020768508989295248	0.05065954991285874	0.07604669349952078	0.6661127938202414	-0.025387143586662046	0.05301040632232901	0.05167647390103645	1.0255836398497469	0.0013339324212925593	0.040402487630359044	0.09479968605414213	0.4287703860927893	-0.054397198423783086	0.05640439016641573	0.05361541344192214	1.04949305099365	0.0027889767244935887	0.13636243215871657	0.07866367921272832	1.735049192636406	0.05769875294598825	0.024779538505919928	0.0388009779929634	0.6386114365057189	-0.014021439487043472	0.06711954860448531	0.07559412340731456	0.8876945646880068	-0.008474574802829246
8	0.03840626781095563	0.02406744622793971	1.5969738048849917	0.014338821583015918	0.163059846152123	0.09111689788352592	1.7895216017171753	0.07194294826859707	0.05672245963219624	0.02345145007258949	2.419723871841078	0.033271009559606754	0.13696803758585008	0.08539737466736638	1.604307123492396	0.051570662918483695	0.03681471554997292	0.022768696773094038	1.617094709862201	0.014046018776878881	0.08876540340237041	0.08867855897269736	1.0036728253778386	8.684442967304973e-05	0.04271680588034156	0.02922056994432321	1.461413998635247	0.013496235936018348	0.10005803636636698	0.0797089041697398	1.2554701118306988	0.02034913219662718	0.022265720876239414	0.03611323584406302	0.6157820959864736	-0.013847514967823608	0.06226055939821029	0.08354225101027635	0.7457564665282683	-0.021281691612066056	0.042044748879219586	0.020400393009280284	2.0608637571758206	0.0216443558699393	0.1722120172892337	0.0797498973107128	2.1587059752008857	0.09246211997852088	0.013731173027215795	0.03397927164181526	0.4039217940395857	-0.020248098614599464	0.048484672306785735	0.09761504097851761	0.5008748555472771	-0.04913036867173188	0.04887623115811794	0.030115549921910817	1.6228252503393166	0.018760681236207125	0.08038965641739015	0.0847754435512027	0.9480858395249075	-0.0043857871338125465	0.03999323477534219	0.032783183143018896	1.2220503281113266	0.007210051632323293	0.11552898492139316	0.09062783582736161	1.2740038083332974	0.024901149094031544	0.042060085106223374	0.024132994067640218	1.7440197577069974	0.017927091038583157	0.12387419567072627	0.07259654680581015	1.706258786378206	0.05127764886491612	0.053326584913201934	0.030587148870968427	1.746221357306931	0.022739436042233507	0.15730079103804562	0.082095837631323	1.9218416982768955	0.07520495340672262	0.045568877784019635	0.026718281807267596	1.7099943935893345	0.018850595976752038	0.10700739284790012	0.07223805429678026	1.491783638992528	0.034769338551119855	0.0674200313846475	0.03068323746449901	2.1983353537263186	0.03673679392014849	0.15952561662705256	0.06674380536289984	2.3956018643664594	0.09278181126415272	0.08627719634358988	0.028318976670392938	3.0462172294504963	0.05795821967319694	0.2235132639716917	0.07642835858840023	2.9337305478311366	0.14708490538329144	0.06835322805676673	0.028229594602330804	2.424263905900915	0.040123633454435925	0.1042282115799092	0.08275466831573354	1.254006813007321	0.021473543264175665	0.03964073976188083	0.03505334464798862	1.1318065350835136	0.004587395113892209	0.12247628182633627	0.0949583890779558	1.2897909431477967	0.02751789274838047
9	0.042288468194279796	0.035659217647891414	1.1849472093513098	0.006629250546388382	0.08580562756999226	0.07649828275172599	1.1258665179082663	0.00930734481826627	0.030563637089862507	0.02976312062894175	1.0277559329123414	0.0008005164609207575	0.0884681128982455	0.06135720127844868	1.448670603935906	0.027110911619796813	0.021091626954828163	0.03585187225200007	0.5889313812009758	-0.014760245297171903	0.07876113014815275	0.07680563569429386	1.02625961848804	0.001955494453858897	0.034833375083628965	0.031765403767050865	1.096341696588445	0.0030679713165780997	0.12092178035748083	0.08004629284946277	1.507217980831624	0.04087548750801806	0.060096574599187325	0.03583372907725568	1.6767479837599457	0.024262845521931642	0.08630304889334625	0.09607708286219724	0.8999119898520351	-0.009774033968850987	0.025465664071390524	0.03257256822124922	0.7820008431889776	-0.007106904149858699	0.032660354782861147	0.08453831803470785	0.38910100241057244	-0.0518779632518467	0.04247184369511604	0.028794622837240984	1.4746822500815977	0.01367722085787506	0.08926612273478407	0.0845209546460699	1.0566314579651972	0.004745168088714169	0.04745628767271729	0.033347358024178514	1.431222031575798	0.014108929648538777	0.08771450749591095	0.10366500636843137	0.853171855325304	-0.015950498872520424	0.10344465536384939	0.03654628982770915	2.829999861960993	0.06689836553614024	0.23964717874105915	0.09167478761093391	2.61219876715462	0.14797239113012522	0.07109175615923671	0.028443841021403404	2.4990190030917523	0.04264791513783331	0.2667315666564295	0.08278227603309402	3.2238793274196142	0.18394929062333548	0.07062925477082342	0.04076495346113686	1.7312341362417296	0.029864301309686564	0.1620854335570804	0.07779192612944688	2.0839878012794566	0.08429350742763353	0.055648577976337446	0.02539229769340369	2.1931606425525567	0.030256280282933756	0.09977908068309234	0.0786110275390271	1.2690744989329483	0.021168053144065238	0.051072061910051945	0.026484416287378767	1.9317900798659664	0.02458764562267318	0.2110506542442442	0.07849290909736213	2.688352437312597	0.13255774514688207	0.048006625507325026	0.034146578487559434	1.406797719109886	0.013860047019765592	0.12142074708028601	0.09094655495131607	1.3350082507444014	0.030474192128969943	0.040461694618699626	0.02990128347128394	1.353154027154845	0.010560411147415686	0.10560671193724316	0.08899082316099421	1.1857003339902663	0.01661588877624895	0.019097384603071393	0.030816237477934424	0.6197075713823639	-0.011718852874863031	0.07860803547729556	0.08168389013956806	0.9635980491067071	-0.0030758546622725036
10	0.03968618993623805	0.03255264765069314	1.2198378823880502	0.007133542285544907	0.03861974699029011	0.09416463208039055	0.41005452452083346	-0.05554488509010044	0.05148052834292586	0.02300986533652972	2.2495094426949063	0.028470663006396137	0.07843389938729324	0.0639683232278168	1.22604821608179	0.01446557615947644	0.042980611886254697	0.03309096333287093	1.2988116997182817	0.009889648553383763	0.09430777304599654	0.08208560327317599	1.1482556529705694	0.012222169772820549	0.044847395999286846	0.03037625432676004	1.4757713457424146	0.014471141672526805	0.12190766250360377	0.07573638789155382	1.61098164596523	0.04617127461204995	0.04767418512335907	0.02604529667351239	1.834033887328622	0.021628888449846676	0.1551009482047539	0.08177240798906169	1.90809425824014	0.07332854021569221	0.02501098682624785	0.03379018471424512	0.7420577524480745	-0.008779197887997272	0.10370497787742798	0.08847641213849022	1.173278393437356	0.015228565738937758	0.012060524100913008	0.030951540443314662	0.39038788567076	-0.018891016342401652	0.07132900135914141	0.08587743918230753	0.8236346256312064	-0.014548437823166116	0.04642585460755391	0.02344789282136961	1.9860595282564488	0.022977961786184303	0.11540667347936134	0.0669863263842697	1.7243779145296183	0.048420347095091645	0.05749558194219301	0.023963179336136148	2.400421041327525	0.03353240260605686	0.16539261898595148	0.06838891420586632	2.41892205019728	0.09700370478008516	0.06133701389970883	0.0271451417536549	2.2667678647302547	0.03419187214605393	0.1869997703650765	0.08066126087601383	2.338408565323615	0.10633850948906268	0.05782325197283951	0.026598423944294996	2.1739417545343533	0.031224828028544514	0.12968759818733372	0.07347018786396198	1.7661409114758708	0.05621741032337174	0.03355475255001753	0.0376311272873511	0.8917176325524456	-0.00407637473733357	0.03876667959148257	0.07592372621068055	0.5110115117275926	-0.037157046619197984	0.04771536603719341	0.02875565178092062	1.660343327992448	0.01895971425627279	0.12735427596424295	0.08550227903645721	1.4881205426608628	0.04185199692778574	0.04578666859171086	0.04098126522731872	1.1187426126115487	0.004805403364392141	0.08110404075678362	0.09539274539572075	0.8553745599447262	-0.014288704638937125	0.02740305188459878	0.029375103717209836	0.9343103225591534	-0.0019720518326110555	0.12875350984337652	0.08091767795164127	1.6016700055111754	0.04783583189173525	0.019632708427402272	0.030582810364535543	0.6435234201578419	-0.01095010193713327	0.03178384605025338	0.08474547979591687	0.37464891815709944	-0.05296163374566349
